title,release_year,duration_min,primary_genre,imdb_score,num_voted_users
Kevin Hart: Let Me Explain,2013,75.0,Stand-Up Comedy,6.7,6062
Kickboxer: Vengeance,2016,90.0,Action & Adventure,9.1,246
Kill Bill: Vol. 1,2003,111.0,Action & Adventure,8.1,735784
Kill Bill: Vol. 2,2004,137.0,Action & Adventure,8.0,512749
Killers,2010,100.0,Action & Adventure,5.4,72867
King's Ransom,2005,98.0,Action & Adventure,4.1,3229
Kingpin,1996,114.0,Comedies,6.9,63459
Kiss the Girls,1997,116.0,Thrillers,6.6,50653
Knowing,2009,121.0,Sci-Fi & Fantasy,6.2,186879
Kung Fu Hustle,2004,99.0,Action & Adventure,7.8,99353
La Bamba,1987,109.0,Classic Movies,6.8,21409
Lady in the Water,2006,110.0,Sci-Fi & Fantasy,5.6,78635
Leap Year,2010,100.0,Comedies,6.4,71276
Left Behind,2014,110.0,Action & Adventure,3.1,24854
Left Behind,2014,110.0,Action & Adventure,3.1,24854
Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,Children & Family Movies,7.0,65785
Legion,2010,100.0,Action & Adventure,5.2,80870
Lincoln,2012,150.0,Dramas,7.4,197412
Little Nicky,2000,90.0,Comedies,5.3,80639
"Lock, Stock and Two Smoking Barrels",1998,108.0,Action & Adventure,8.2,414976
Lockout,2012,95.0,Action & Adventure,6.1,82082
Logan's Run,1976,118.0,Action & Adventure,6.8,39847
Lolita,1962,153.0,Classic Movies,7.7,67822
Lolita,1962,153.0,Classic Movies,7.7,67825
Loving Annabelle,2006,77.0,Dramas,6.7,9190
Mad Max,1979,93.0,Action & Adventure,7.0,152232
Mad Money,2008,99.0,Comedies,5.8,16831
Martin Lawrence Live: Runteldat,2002,104.0,Stand-Up Comedy,5.4,1466
Mean Streets,1973,112.0,Classic Movies,7.4,67797
Men in Black,1997,98.0,Action & Adventure,7.3,403014
Men in Black II,2002,88.0,Action & Adventure,6.1,270207
Midnight Special,2016,112.0,Action & Adventure,6.7,31359
Milk,2008,128.0,Dramas,7.6,136673
Miracle,2004,136.0,Children & Family Movies,7.5,36636
Mirror Mirror,2012,106.0,Children & Family Movies,5.6,70838
Miss Julie,2014,130.0,Dramas,5.6,2894
Mona Lisa Smile,2003,119.0,Dramas,6.4,61490
Money Talks,1997,96.0,Action & Adventure,6.1,22748
Monster-in-Law,2005,101.0,Comedies,5.5,43358
Moon,2009,97.0,Dramas,7.9,260607
Movie 43,2013,94.0,Comedies,4.3,79146
Mr. Church,2016,105.0,Dramas,8.0,63
Mr. Deeds,2002,97.0,Comedies,5.8,110432
Mud,2012,131.0,Dramas,7.4,135286
Muppets Most Wanted,2014,110.0,Children & Family Movies,6.4,24285
